id;fio;bth;em;pass;dr;phone;disc
333;Ivan333;1975-04-24;nas@tam.net333;gg333;2020-04-07;74953222565;45
334;Ivan334;1984-04-07;nas@tam.net334;gg334;2020-09-18;74953222566;58
335;Ivan335;1967-06-15;nas@tam.net335;gg335;2020-03-15;74953222567;57
336;Ivan336;1965-04-08;nas@tam.net336;gg336;2020-07-17;74953222568;30
337;Ivan337;1984-11-08;nas@tam.net337;gg337;2020-11-29;74953222569;76
338;Ivan338;1991-11-09;nas@tam.net338;gg338;2020-06-02;74953222570;46
339;Ivan339;1964-02-05;nas@tam.net339;gg339;2020-02-20;74953222571;55
340;Ivan340;1967-03-08;nas@tam.net340;gg340;2020-03-14;74953222572;9
341;Ivan341;1976-10-06;nas@tam.net341;gg341;2020-11-01;74953222573;36
342;Ivan342;1999-05-15;nas@tam.net342;gg342;2020-09-20;74953222574;26
343;Ivan343;1953-10-06;nas@tam.net343;gg343;2020-11-25;74953222575;30
344;Ivan344;1955-11-21;nas@tam.net344;gg344;2020-08-07;74953222576;83
345;Ivan345;1970-02-15;nas@tam.net345;gg345;2020-08-31;74953222577;17
346;Ivan346;1954-07-12;nas@tam.net346;gg346;2020-01-13;74953222578;18
347;Ivan347;1996-10-16;nas@tam.net347;gg347;2020-06-19;74953222579;97
348;Ivan348;1954-04-25;nas@tam.net348;gg348;2020-11-02;74953222580;34
349;Ivan349;1962-04-24;nas@tam.net349;gg349;2020-08-10;74953222581;5
350;Ivan350;1966-07-22;nas@tam.net350;gg350;2020-06-17;74953222582;23
351;Ivan351;1964-06-19;nas@tam.net351;gg351;2020-11-20;74953222583;25
352;Ivan352;1967-08-21;nas@tam.net352;gg352;2020-08-22;74953222584;62
353;Ivan353;1952-03-19;nas@tam.net353;gg353;2020-04-25;74953222585;89
354;Ivan354;1963-02-27;nas@tam.net354;gg354;2020-05-27;74953222586;66
355;Ivan355;1987-07-11;nas@tam.net355;gg355;2020-11-18;74953222587;2
356;Ivan356;1957-12-02;nas@tam.net356;gg356;2020-11-18;74953222588;95
357;Ivan357;1976-06-18;nas@tam.net357;gg357;2020-10-04;74953222589;13
358;Ivan358;1960-01-01;nas@tam.net358;gg358;2020-02-16;74953222590;30
359;Ivan359;1950-04-17;nas@tam.net359;gg359;2020-10-31;74953222591;51
360;Ivan360;1986-12-06;nas@tam.net360;gg360;2020-01-04;74953222592;82
361;Ivan361;1988-08-03;nas@tam.net361;gg361;2020-04-04;74953222593;74
362;Ivan362;1990-02-16;nas@tam.net362;gg362;2020-05-01;74953222594;47
363;Ivan363;1956-10-08;nas@tam.net363;gg363;2020-07-07;74953222595;6
364;Ivan364;1992-02-11;nas@tam.net364;gg364;2020-03-06;74953222596;36
365;Ivan365;1967-01-23;nas@tam.net365;gg365;2020-05-18;74953222597;0
366;Ivan366;1996-11-27;nas@tam.net366;gg366;2020-02-29;74953222598;84
367;Ivan367;1968-03-25;nas@tam.net367;gg367;2020-03-11;74953222599;53
368;Ivan368;1962-07-24;nas@tam.net368;gg368;2020-09-26;74953222600;63
369;Ivan369;1970-02-13;nas@tam.net369;gg369;2020-06-02;74953222601;60
370;Ivan370;1980-06-18;nas@tam.net370;gg370;2020-02-29;74953222602;37
371;Ivan371;1967-12-28;nas@tam.net371;gg371;2020-03-16;74953222603;75
372;Ivan372;1954-09-28;nas@tam.net372;gg372;2020-10-05;74953222604;60
373;Ivan373;1987-03-02;nas@tam.net373;gg373;2020-07-20;74953222605;57
374;Ivan374;1954-11-21;nas@tam.net374;gg374;2020-01-07;74953222606;89
375;Ivan375;1953-10-20;nas@tam.net375;gg375;2020-02-20;74953222607;4
376;Ivan376;1953-05-23;nas@tam.net376;gg376;2020-01-24;74953222608;51
377;Ivan377;1976-03-17;nas@tam.net377;gg377;2020-02-09;74953222609;44
378;Ivan378;1965-08-17;nas@tam.net378;gg378;2020-11-06;74953222610;88
379;Ivan379;1981-02-27;nas@tam.net379;gg379;2020-08-23;74953222611;82
380;Ivan380;1967-11-10;nas@tam.net380;gg380;2020-07-11;74953222612;55
381;Ivan381;1964-03-26;nas@tam.net381;gg381;2020-07-20;74953222613;11
382;Ivan382;1969-07-09;nas@tam.net382;gg382;2020-02-18;74953222614;6
383;Ivan383;1968-04-29;nas@tam.net383;gg383;2020-07-02;74953222615;82
384;Ivan384;1978-12-27;nas@tam.net384;gg384;2020-04-29;74953222616;63
385;Ivan385;1965-08-22;nas@tam.net385;gg385;2020-03-03;74953222617;34
386;Ivan386;1957-02-13;nas@tam.net386;gg386;2020-12-15;74953222618;61
387;Ivan387;1974-11-10;nas@tam.net387;gg387;2020-01-02;74953222619;33
388;Ivan388;1972-08-28;nas@tam.net388;gg388;2020-07-21;74953222620;14
389;Ivan389;1988-03-18;nas@tam.net389;gg389;2020-02-03;74953222621;38
390;Ivan390;1997-12-31;nas@tam.net390;gg390;2020-01-30;74953222622;40
391;Ivan391;1977-11-02;nas@tam.net391;gg391;2020-07-29;74953222623;87
392;Ivan392;1964-11-27;nas@tam.net392;gg392;2020-07-06;74953222624;91
393;Ivan393;1980-01-25;nas@tam.net393;gg393;2020-07-18;74953222625;99
394;Ivan394;1950-11-15;nas@tam.net394;gg394;2020-10-18;74953222626;98
395;Ivan395;1966-05-06;nas@tam.net395;gg395;2020-05-09;74953222627;68
396;Ivan396;1953-01-13;nas@tam.net396;gg396;2020-09-24;74953222628;78
397;Ivan397;1964-12-18;nas@tam.net397;gg397;2020-09-01;74953222629;97
398;Ivan398;1976-06-09;nas@tam.net398;gg398;2020-07-11;74953222630;94
399;Ivan399;1978-12-11;nas@tam.net399;gg399;2020-02-21;74953222631;58
400;Ivan400;1952-11-22;nas@tam.net400;gg400;2020-04-18;74953222632;63
401;Ivan401;1966-04-20;nas@tam.net401;gg401;2020-08-20;74953222633;49
402;Ivan402;1974-03-23;nas@tam.net402;gg402;2020-03-29;74953222634;4
403;Ivan403;1955-06-08;nas@tam.net403;gg403;2020-09-01;74953222635;76
404;Ivan404;1992-08-04;nas@tam.net404;gg404;2020-09-08;74953222636;22
405;Ivan405;1960-11-10;nas@tam.net405;gg405;2020-02-16;74953222637;55
406;Ivan406;1950-06-22;nas@tam.net406;gg406;2020-09-14;74953222638;63
407;Ivan407;1972-03-17;nas@tam.net407;gg407;2020-05-17;74953222639;98
408;Ivan408;1990-05-20;nas@tam.net408;gg408;2020-10-12;74953222640;89
409;Ivan409;1964-01-04;nas@tam.net409;gg409;2020-06-16;74953222641;27
410;Ivan410;1981-03-17;nas@tam.net410;gg410;2020-12-29;74953222642;46
411;Ivan411;1967-08-18;nas@tam.net411;gg411;2020-12-18;74953222643;42
412;Ivan412;1960-05-18;nas@tam.net412;gg412;2020-06-12;74953222644;52
413;Ivan413;1979-10-15;nas@tam.net413;gg413;2020-04-06;74953222645;79
414;Ivan414;1958-07-26;nas@tam.net414;gg414;2020-01-15;74953222646;16
415;Ivan415;1953-07-10;nas@tam.net415;gg415;2020-05-05;74953222647;46
416;Ivan416;1961-05-27;nas@tam.net416;gg416;2020-08-05;74953222648;30
417;Ivan417;1971-02-11;nas@tam.net417;gg417;2020-10-04;74953222649;69
418;Ivan418;1961-09-21;nas@tam.net418;gg418;2020-05-11;74953222650;42
419;Ivan419;1950-02-28;nas@tam.net419;gg419;2020-12-30;74953222651;48
420;Ivan420;1953-10-01;nas@tam.net420;gg420;2020-09-09;74953222652;72
421;Ivan421;1979-01-07;nas@tam.net421;gg421;2020-02-07;74953222653;16
422;Ivan422;1973-06-23;nas@tam.net422;gg422;2020-05-01;74953222654;28
423;Ivan423;1965-03-25;nas@tam.net423;gg423;2020-11-18;74953222655;59
424;Ivan424;1988-03-29;nas@tam.net424;gg424;2020-03-05;74953222656;69
425;Ivan425;1978-12-09;nas@tam.net425;gg425;2020-10-11;74953222657;55
426;Ivan426;1971-09-19;nas@tam.net426;gg426;2020-12-29;74953222658;26
427;Ivan427;1988-12-19;nas@tam.net427;gg427;2020-09-03;74953222659;54
428;Ivan428;1957-05-12;nas@tam.net428;gg428;2020-09-09;74953222660;29
429;Ivan429;1977-08-24;nas@tam.net429;gg429;2020-06-16;74953222661;92
430;Ivan430;1958-11-02;nas@tam.net430;gg430;2020-04-26;74953222662;97
431;Ivan431;1975-02-24;nas@tam.net431;gg431;2020-01-16;74953222663;29
432;Ivan432;1964-04-12;nas@tam.net432;gg432;2020-11-11;74953222664;61
433;Ivan433;1990-11-29;nas@tam.net433;gg433;2020-09-02;74953222665;81
434;Ivan434;1999-02-23;nas@tam.net434;gg434;2020-09-13;74953222666;69
435;Ivan435;1966-03-06;nas@tam.net435;gg435;2020-05-13;74953222667;16
436;Ivan436;1982-07-30;nas@tam.net436;gg436;2020-04-09;74953222668;89
437;Ivan437;1962-09-27;nas@tam.net437;gg437;2020-01-05;74953222669;94
438;Ivan438;1997-03-06;nas@tam.net438;gg438;2020-10-05;74953222670;1
439;Ivan439;1990-04-19;nas@tam.net439;gg439;2020-04-01;74953222671;54
440;Ivan440;1969-01-29;nas@tam.net440;gg440;2020-05-30;74953222672;15
441;Ivan441;1995-01-27;nas@tam.net441;gg441;2020-09-26;74953222673;86
442;Ivan442;1957-06-25;nas@tam.net442;gg442;2020-06-29;74953222674;43
443;Ivan443;1950-12-04;nas@tam.net443;gg443;2020-05-20;74953222675;84
444;Ivan444;1957-09-11;nas@tam.net444;gg444;2020-08-30;74953222676;63
445;Ivan445;1989-10-16;nas@tam.net445;gg445;2020-02-10;74953222677;38
446;Ivan446;1978-04-24;nas@tam.net446;gg446;2020-01-25;74953222678;34
447;Ivan447;1975-11-29;nas@tam.net447;gg447;2020-06-26;74953222679;80
448;Ivan448;1958-03-06;nas@tam.net448;gg448;2020-01-25;74953222680;3
449;Ivan449;1969-03-28;nas@tam.net449;gg449;2020-08-21;74953222681;92
450;Ivan450;1955-02-17;nas@tam.net450;gg450;2020-02-14;74953222682;3
451;Ivan451;1967-09-25;nas@tam.net451;gg451;2020-02-21;74953222683;62
452;Ivan452;1957-03-22;nas@tam.net452;gg452;2020-06-07;74953222684;58
453;Ivan453;1994-10-30;nas@tam.net453;gg453;2020-05-31;74953222685;70
454;Ivan454;1957-10-03;nas@tam.net454;gg454;2020-10-01;74953222686;30
455;Ivan455;1958-06-05;nas@tam.net455;gg455;2020-02-21;74953222687;92
456;Ivan456;1999-02-18;nas@tam.net456;gg456;2020-01-29;74953222688;66
457;Ivan457;1967-06-23;nas@tam.net457;gg457;2020-03-03;74953222689;63
458;Ivan458;1951-02-09;nas@tam.net458;gg458;2020-08-31;74953222690;34
459;Ivan459;1979-01-28;nas@tam.net459;gg459;2020-03-21;74953222691;95
460;Ivan460;1981-04-25;nas@tam.net460;gg460;2020-02-20;74953222692;65
461;Ivan461;1967-10-31;nas@tam.net461;gg461;2020-01-26;74953222693;3
462;Ivan462;1985-01-03;nas@tam.net462;gg462;2020-10-23;74953222694;12
463;Ivan463;1955-05-10;nas@tam.net463;gg463;2020-07-23;74953222695;54
464;Ivan464;1990-01-02;nas@tam.net464;gg464;2020-11-12;74953222696;3
465;Ivan465;1969-03-31;nas@tam.net465;gg465;2020-08-28;74953222697;73
466;Ivan466;1985-11-14;nas@tam.net466;gg466;2020-07-23;74953222698;88
467;Ivan467;1959-04-24;nas@tam.net467;gg467;2020-03-02;74953222699;1
468;Ivan468;1972-12-20;nas@tam.net468;gg468;2020-01-31;74953222700;87
469;Ivan469;1995-11-01;nas@tam.net469;gg469;2020-04-15;74953222701;25
470;Ivan470;1964-11-16;nas@tam.net470;gg470;2020-11-15;74953222702;28
471;Ivan471;1956-12-15;nas@tam.net471;gg471;2020-09-16;74953222703;41
472;Ivan472;1995-10-07;nas@tam.net472;gg472;2020-09-05;74953222704;25
473;Ivan473;1985-12-22;nas@tam.net473;gg473;2020-08-29;74953222705;100
474;Ivan474;1951-01-26;nas@tam.net474;gg474;2020-06-13;74953222706;12
475;Ivan475;1983-04-02;nas@tam.net475;gg475;2020-06-18;74953222707;15
476;Ivan476;1956-02-02;nas@tam.net476;gg476;2020-02-23;74953222708;53
477;Ivan477;1969-06-04;nas@tam.net477;gg477;2020-07-13;74953222709;23
478;Ivan478;1973-06-22;nas@tam.net478;gg478;2020-11-29;74953222710;85
479;Ivan479;1998-06-26;nas@tam.net479;gg479;2020-09-13;74953222711;9
480;Ivan480;1982-11-11;nas@tam.net480;gg480;2020-04-05;74953222712;99
481;Ivan481;1965-05-12;nas@tam.net481;gg481;2020-07-29;74953222713;72
482;Ivan482;1984-06-10;nas@tam.net482;gg482;2020-11-14;74953222714;81
483;Ivan483;1977-02-24;nas@tam.net483;gg483;2020-05-23;74953222715;76
484;Ivan484;1967-09-30;nas@tam.net484;gg484;2020-09-06;74953222716;56
485;Ivan485;1986-10-25;nas@tam.net485;gg485;2020-11-03;74953222717;99
486;Ivan486;1950-04-23;nas@tam.net486;gg486;2020-09-11;74953222718;23
487;Ivan487;1992-03-12;nas@tam.net487;gg487;2020-08-28;74953222719;29
488;Ivan488;1967-02-26;nas@tam.net488;gg488;2020-02-10;74953222720;100
489;Ivan489;1958-05-14;nas@tam.net489;gg489;2020-06-27;74953222721;22
490;Ivan490;1974-11-12;nas@tam.net490;gg490;2020-10-19;74953222722;86
491;Ivan491;1967-02-25;nas@tam.net491;gg491;2020-12-07;74953222723;69
492;Ivan492;1957-12-11;nas@tam.net492;gg492;2020-08-27;74953222724;50
493;Ivan493;1998-02-22;nas@tam.net493;gg493;2020-08-29;74953222725;66
494;Ivan494;1959-04-15;nas@tam.net494;gg494;2020-09-09;74953222726;36
495;Ivan495;1972-07-10;nas@tam.net495;gg495;2020-10-13;74953222727;74
496;Ivan496;1997-03-21;nas@tam.net496;gg496;2020-11-12;74953222728;96
497;Ivan497;1979-05-14;nas@tam.net497;gg497;2020-09-01;74953222729;91
498;Ivan498;1970-02-16;nas@tam.net498;gg498;2020-06-16;74953222730;43
499;Ivan499;1988-10-15;nas@tam.net499;gg499;2020-12-02;74953222731;76
500;Ivan500;1978-09-11;nas@tam.net500;gg500;2020-05-08;74953222732;38
501;Ivan501;1971-02-12;nas@tam.net501;gg501;2020-04-17;74953222733;10
502;Ivan502;1956-07-01;nas@tam.net502;gg502;2020-05-20;74953222734;55
503;Ivan503;1963-02-16;nas@tam.net503;gg503;2020-10-27;74953222735;12
504;Ivan504;1969-04-04;nas@tam.net504;gg504;2020-11-16;74953222736;56
505;Ivan505;1993-04-15;nas@tam.net505;gg505;2020-02-24;74953222737;50
506;Ivan506;1952-01-26;nas@tam.net506;gg506;2020-06-14;74953222738;10
507;Ivan507;1968-12-21;nas@tam.net507;gg507;2020-03-30;74953222739;95
508;Ivan508;1999-07-10;nas@tam.net508;gg508;2020-06-01;74953222740;56
509;Ivan509;1999-12-02;nas@tam.net509;gg509;2020-10-05;74953222741;70
510;Ivan510;1998-09-15;nas@tam.net510;gg510;2020-01-23;74953222742;45
511;Ivan511;1989-09-18;nas@tam.net511;gg511;2020-04-17;74953222743;67
512;Ivan512;1966-10-10;nas@tam.net512;gg512;2020-12-25;74953222744;33
513;Ivan513;1986-05-06;nas@tam.net513;gg513;2020-10-03;74953222745;73
514;Ivan514;1998-12-06;nas@tam.net514;gg514;2020-01-07;74953222746;1
515;Ivan515;1962-06-30;nas@tam.net515;gg515;2020-11-20;74953222747;21
516;Ivan516;1950-07-25;nas@tam.net516;gg516;2020-06-18;74953222748;5
517;Ivan517;1955-01-16;nas@tam.net517;gg517;2020-01-19;74953222749;80
518;Ivan518;1988-06-23;nas@tam.net518;gg518;2020-01-28;74953222750;68
519;Ivan519;1963-03-22;nas@tam.net519;gg519;2020-08-07;74953222751;20
520;Ivan520;1980-08-13;nas@tam.net520;gg520;2020-11-27;74953222752;46
521;Ivan521;1962-07-09;nas@tam.net521;gg521;2020-08-22;74953222753;49
522;Ivan522;1963-02-22;nas@tam.net522;gg522;2020-11-18;74953222754;97
523;Ivan523;1972-08-14;nas@tam.net523;gg523;2020-09-21;74953222755;9
524;Ivan524;1965-02-06;nas@tam.net524;gg524;2020-03-05;74953222756;41
525;Ivan525;1968-03-06;nas@tam.net525;gg525;2020-02-04;74953222757;37
526;Ivan526;1979-08-03;nas@tam.net526;gg526;2020-11-15;74953222758;28
527;Ivan527;1997-01-01;nas@tam.net527;gg527;2020-11-07;74953222759;53
528;Ivan528;1969-07-15;nas@tam.net528;gg528;2020-12-22;74953222760;39
529;Ivan529;1969-04-25;nas@tam.net529;gg529;2020-11-12;74953222761;75
530;Ivan530;1997-08-25;nas@tam.net530;gg530;2020-01-04;74953222762;86
531;Ivan531;1989-03-02;nas@tam.net531;gg531;2020-05-18;74953222763;84
532;Ivan532;1958-05-21;nas@tam.net532;gg532;2020-03-22;74953222764;52
533;Ivan533;1999-02-15;nas@tam.net533;gg533;2020-12-27;74953222765;27
534;Ivan534;1956-04-24;nas@tam.net534;gg534;2020-11-11;74953222766;56
535;Ivan535;1978-08-19;nas@tam.net535;gg535;2020-05-15;74953222767;58
536;Ivan536;1972-03-24;nas@tam.net536;gg536;2020-09-16;74953222768;81
537;Ivan537;1990-07-22;nas@tam.net537;gg537;2020-01-11;74953222769;87
538;Ivan538;1970-08-17;nas@tam.net538;gg538;2020-06-26;74953222770;98
539;Ivan539;1964-03-15;nas@tam.net539;gg539;2020-08-18;74953222771;96
540;Ivan540;1968-11-19;nas@tam.net540;gg540;2020-05-12;74953222772;25
541;Ivan541;1951-07-03;nas@tam.net541;gg541;2020-12-15;74953222773;10
542;Ivan542;1965-05-18;nas@tam.net542;gg542;2020-09-03;74953222774;78
543;Ivan543;1965-01-06;nas@tam.net543;gg543;2020-09-16;74953222775;10
544;Ivan544;1997-03-27;nas@tam.net544;gg544;2020-02-23;74953222776;47
545;Ivan545;1972-03-28;nas@tam.net545;gg545;2020-02-22;74953222777;79
546;Ivan546;1997-08-12;nas@tam.net546;gg546;2020-07-18;74953222778;61
547;Ivan547;1965-07-04;nas@tam.net547;gg547;2020-10-30;74953222779;84
548;Ivan548;1974-09-01;nas@tam.net548;gg548;2020-10-05;74953222780;25
549;Ivan549;1983-12-13;nas@tam.net549;gg549;2020-09-11;74953222781;58
550;Ivan550;1972-01-05;nas@tam.net550;gg550;2020-03-21;74953222782;98
551;Ivan551;1954-02-23;nas@tam.net551;gg551;2020-04-04;74953222783;90
552;Ivan552;1995-02-13;nas@tam.net552;gg552;2020-03-01;74953222784;83
553;Ivan553;1968-09-19;nas@tam.net553;gg553;2020-03-27;74953222785;69
554;Ivan554;1999-02-26;nas@tam.net554;gg554;2020-12-13;74953222786;57
555;Ivan555;1991-02-11;nas@tam.net555;gg555;2020-07-06;74953222787;35
556;Ivan556;1983-02-24;nas@tam.net556;gg556;2020-09-28;74953222788;45
557;Ivan557;1996-10-31;nas@tam.net557;gg557;2020-12-03;74953222789;37
558;Ivan558;1971-11-18;nas@tam.net558;gg558;2020-02-23;74953222790;54
559;Ivan559;1993-12-18;nas@tam.net559;gg559;2020-09-08;74953222791;8
560;Ivan560;1955-08-23;nas@tam.net560;gg560;2020-04-11;74953222792;56
561;Ivan561;1983-07-06;nas@tam.net561;gg561;2020-08-02;74953222793;96
562;Ivan562;1988-09-10;nas@tam.net562;gg562;2020-12-26;74953222794;51
563;Ivan563;1967-05-15;nas@tam.net563;gg563;2020-08-18;74953222795;62
564;Ivan564;1993-11-28;nas@tam.net564;gg564;2020-12-31;74953222796;60
565;Ivan565;1977-03-29;nas@tam.net565;gg565;2020-04-29;74953222797;91
566;Ivan566;1966-01-24;nas@tam.net566;gg566;2020-10-04;74953222798;42
567;Ivan567;1967-07-08;nas@tam.net567;gg567;2020-04-02;74953222799;28
568;Ivan568;1966-11-27;nas@tam.net568;gg568;2020-12-27;74953222800;46
569;Ivan569;1994-11-24;nas@tam.net569;gg569;2020-08-29;74953222801;19
570;Ivan570;1977-07-27;nas@tam.net570;gg570;2020-08-25;74953222802;1
571;Ivan571;1963-09-21;nas@tam.net571;gg571;2020-07-27;74953222803;6
572;Ivan572;1972-08-03;nas@tam.net572;gg572;2020-06-15;74953222804;85
573;Ivan573;1989-07-11;nas@tam.net573;gg573;2020-03-03;74953222805;66
574;Ivan574;1951-12-29;nas@tam.net574;gg574;2020-09-20;74953222806;41
575;Ivan575;1998-01-19;nas@tam.net575;gg575;2020-03-22;74953222807;70
576;Ivan576;1957-09-04;nas@tam.net576;gg576;2020-01-30;74953222808;30
577;Ivan577;1965-10-30;nas@tam.net577;gg577;2020-06-26;74953222809;13
578;Ivan578;1990-01-11;nas@tam.net578;gg578;2020-08-20;74953222810;48
579;Ivan579;1953-02-11;nas@tam.net579;gg579;2020-01-17;74953222811;57
580;Ivan580;1963-10-22;nas@tam.net580;gg580;2020-08-01;74953222812;15
581;Ivan581;1974-01-28;nas@tam.net581;gg581;2020-07-04;74953222813;23
582;Ivan582;1985-01-08;nas@tam.net582;gg582;2020-01-24;74953222814;100
583;Ivan583;1977-09-07;nas@tam.net583;gg583;2020-11-30;74953222815;31
584;Ivan584;1966-06-20;nas@tam.net584;gg584;2020-05-25;74953222816;18
585;Ivan585;1994-01-26;nas@tam.net585;gg585;2020-01-04;74953222817;85
586;Ivan586;1964-11-11;nas@tam.net586;gg586;2020-11-23;74953222818;46
587;Ivan587;1996-08-18;nas@tam.net587;gg587;2020-11-13;74953222819;3
588;Ivan588;1987-11-07;nas@tam.net588;gg588;2020-06-16;74953222820;19
589;Ivan589;1998-12-16;nas@tam.net589;gg589;2020-01-30;74953222821;27
590;Ivan590;1991-03-04;nas@tam.net590;gg590;2020-08-20;74953222822;98
591;Ivan591;1955-10-26;nas@tam.net591;gg591;2020-09-19;74953222823;42
592;Ivan592;1998-03-26;nas@tam.net592;gg592;2020-12-10;74953222824;11
593;Ivan593;1987-07-03;nas@tam.net593;gg593;2020-05-25;74953222825;59
594;Ivan594;1977-10-24;nas@tam.net594;gg594;2020-04-05;74953222826;75
595;Ivan595;1970-02-25;nas@tam.net595;gg595;2020-04-24;74953222827;3
596;Ivan596;1994-02-28;nas@tam.net596;gg596;2020-07-24;74953222828;28
597;Ivan597;1969-03-19;nas@tam.net597;gg597;2020-07-15;74953222829;84
598;Ivan598;1966-04-08;nas@tam.net598;gg598;2020-09-07;74953222830;16
599;Ivan599;1961-10-19;nas@tam.net599;gg599;2020-05-06;74953222831;63
600;Ivan600;1996-10-05;nas@tam.net600;gg600;2020-03-12;74953222832;48
601;Ivan601;1951-12-30;nas@tam.net601;gg601;2020-08-12;74953222833;55
602;Ivan602;1979-07-23;nas@tam.net602;gg602;2020-11-05;74953222834;86
603;Ivan603;1981-11-20;nas@tam.net603;gg603;2020-02-05;74953222835;94
604;Ivan604;1968-06-05;nas@tam.net604;gg604;2020-01-03;74953222836;56
605;Ivan605;1952-12-07;nas@tam.net605;gg605;2020-03-05;74953222837;34
606;Ivan606;1996-03-18;nas@tam.net606;gg606;2020-12-10;74953222838;83
607;Ivan607;1966-08-11;nas@tam.net607;gg607;2020-04-28;74953222839;9
608;Ivan608;1959-07-17;nas@tam.net608;gg608;2020-07-01;74953222840;98
609;Ivan609;1978-03-18;nas@tam.net609;gg609;2020-01-28;74953222841;100
610;Ivan610;1969-12-15;nas@tam.net610;gg610;2020-11-09;74953222842;70
611;Ivan611;1973-03-04;nas@tam.net611;gg611;2020-03-17;74953222843;9
612;Ivan612;1987-02-17;nas@tam.net612;gg612;2020-09-11;74953222844;35
613;Ivan613;1995-04-09;nas@tam.net613;gg613;2020-06-23;74953222845;100
614;Ivan614;1981-08-23;nas@tam.net614;gg614;2020-06-18;74953222846;87
615;Ivan615;1993-05-19;nas@tam.net615;gg615;2020-08-01;74953222847;46
616;Ivan616;1990-01-19;nas@tam.net616;gg616;2020-08-15;74953222848;60
617;Ivan617;1962-05-20;nas@tam.net617;gg617;2020-02-20;74953222849;11
618;Ivan618;1976-09-12;nas@tam.net618;gg618;2020-10-19;74953222850;69
619;Ivan619;1967-09-24;nas@tam.net619;gg619;2020-07-28;74953222851;10
620;Ivan620;1987-12-13;nas@tam.net620;gg620;2020-01-09;74953222852;52
621;Ivan621;1960-12-05;nas@tam.net621;gg621;2020-05-10;74953222853;74
622;Ivan622;1982-11-29;nas@tam.net622;gg622;2020-05-22;74953222854;19
623;Ivan623;1998-11-01;nas@tam.net623;gg623;2020-02-13;74953222855;8
624;Ivan624;1983-12-11;nas@tam.net624;gg624;2020-07-13;74953222856;0
625;Ivan625;1964-10-01;nas@tam.net625;gg625;2020-09-28;74953222857;98
626;Ivan626;1969-11-08;nas@tam.net626;gg626;2020-07-28;74953222858;63
627;Ivan627;1983-09-03;nas@tam.net627;gg627;2020-04-06;74953222859;43
628;Ivan628;1979-06-15;nas@tam.net628;gg628;2020-04-07;74953222860;8
629;Ivan629;1961-11-05;nas@tam.net629;gg629;2020-01-12;74953222861;81
630;Ivan630;1959-06-07;nas@tam.net630;gg630;2020-06-21;74953222862;99
631;Ivan631;1965-01-04;nas@tam.net631;gg631;2020-04-21;74953222863;25
632;Ivan632;1967-02-19;nas@tam.net632;gg632;2020-09-03;74953222864;84
633;Ivan633;1992-07-12;nas@tam.net633;gg633;2020-11-26;74953222865;17
634;Ivan634;1962-01-27;nas@tam.net634;gg634;2020-05-01;74953222866;68
635;Ivan635;1993-02-02;nas@tam.net635;gg635;2020-05-30;74953222867;65
636;Ivan636;1957-10-31;nas@tam.net636;gg636;2020-09-22;74953222868;34
637;Ivan637;1970-10-31;nas@tam.net637;gg637;2020-04-25;74953222869;40
638;Ivan638;1956-02-02;nas@tam.net638;gg638;2020-10-08;74953222870;27
639;Ivan639;1950-09-02;nas@tam.net639;gg639;2020-02-25;74953222871;41
640;Ivan640;1960-03-22;nas@tam.net640;gg640;2020-04-29;74953222872;27
641;Ivan641;1963-01-22;nas@tam.net641;gg641;2020-03-08;74953222873;4
642;Ivan642;1952-05-09;nas@tam.net642;gg642;2020-06-25;74953222874;8
643;Ivan643;1956-08-25;nas@tam.net643;gg643;2020-04-07;74953222875;2
644;Ivan644;1994-08-26;nas@tam.net644;gg644;2020-03-31;74953222876;47
645;Ivan645;1978-03-02;nas@tam.net645;gg645;2020-06-17;74953222877;13
646;Ivan646;1993-03-24;nas@tam.net646;gg646;2020-07-22;74953222878;30
647;Ivan647;1965-10-03;nas@tam.net647;gg647;2020-10-04;74953222879;31
648;Ivan648;1961-07-13;nas@tam.net648;gg648;2020-10-09;74953222880;63
649;Ivan649;1984-03-25;nas@tam.net649;gg649;2020-01-11;74953222881;59
650;Ivan650;1957-03-30;nas@tam.net650;gg650;2020-08-18;74953222882;66
651;Ivan651;1988-03-17;nas@tam.net651;gg651;2020-09-02;74953222883;98
652;Ivan652;1979-11-30;nas@tam.net652;gg652;2020-07-20;74953222884;57
653;Ivan653;1970-05-21;nas@tam.net653;gg653;2020-09-01;74953222885;14
654;Ivan654;1982-07-08;nas@tam.net654;gg654;2020-01-28;74953222886;33
655;Ivan655;1981-09-25;nas@tam.net655;gg655;2020-10-13;74953222887;60
656;Ivan656;1999-04-14;nas@tam.net656;gg656;2020-06-12;74953222888;52
657;Ivan657;1983-07-11;nas@tam.net657;gg657;2020-04-06;74953222889;83
658;Ivan658;1981-07-18;nas@tam.net658;gg658;2020-08-19;74953222890;78
659;Ivan659;1963-08-15;nas@tam.net659;gg659;2020-09-03;74953222891;43
660;Ivan660;1960-11-05;nas@tam.net660;gg660;2020-12-22;74953222892;56
661;Ivan661;1982-05-18;nas@tam.net661;gg661;2020-10-25;74953222893;43
662;Ivan662;1956-09-07;nas@tam.net662;gg662;2020-08-29;74953222894;69
663;Ivan663;1984-05-04;nas@tam.net663;gg663;2020-02-18;74953222895;19
664;Ivan664;1962-07-29;nas@tam.net664;gg664;2020-07-25;74953222896;42
